Researcher	Researcher_Reactor	Sample_Name	Day	Seq_Tech	MAG_ID	Relative_Abundance
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_SCHLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ACT2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BURK1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ENTER2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_PREV4_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LAC6_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_COR2_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_COR3_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_LAC4_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_ACUT1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_ACUT3_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACIL8_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF11_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF18_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF19_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF7_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF9_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BUL1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BUL2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ENTER4_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_PREV8_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_SCHLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_SPOR1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_ACET5_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_BAC1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LAC5_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LEVLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LIMLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_LIMLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ATO5_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF15_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LAC2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LACCAS1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_PED1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_PED2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF3_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_ACET3_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LAC1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LAC3_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_LEUC1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_LIMLAC2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF10_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_LIQLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_ATO2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_ATO3_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_COMLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_FURLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_EUB1_2018_genome	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_MEG1_1	0
