"Rel_Abundance"	"variable"	"value"
"198"	"UW_DM_ATO2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"199"	"UW_DM_BIF1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"200"	"UW_DM_CLOS2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"201"	"UW_DM_LAC2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"202"	"UW_DM_LAC3_1"	"AI_AcidSludgeSampleB_PacBio"	0
"203"	"UW_DM_LENLAC1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"204"	"UW_DM_LIGLAC1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"205"	"UW_MP_ACT1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"206"	"UW_MP_ATO3_1"	"AI_AcidSludgeSampleB_PacBio"	0
"207"	"UW_MP_ATO6_1"	"AI_AcidSludgeSampleB_PacBio"	0
"208"	"UW_MP_BACTE2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"209"	"UW_MP_BACTE5_1"	"AI_AcidSludgeSampleB_PacBio"	0
"210"	"UW_MP_BIF12_1"	"AI_AcidSludgeSampleB_PacBio"	0
"211"	"UW_MP_BIF14_1"	"AI_AcidSludgeSampleB_PacBio"	0
"212"	"UW_MP_BIF16_1"	"AI_AcidSludgeSampleB_PacBio"	0
"213"	"UW_MP_BIF5_1"	"AI_AcidSludgeSampleB_PacBio"	0
"214"	"UW_MP_BIF8_1"	"AI_AcidSludgeSampleB_PacBio"	0
"215"	"UW_MP_BURK4_1"	"AI_AcidSludgeSampleB_PacBio"	0
"216"	"UW_MP_ENTER1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"217"	"UW_MP_LCO2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"218"	"UW_MP_MEG1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"219"	"UW_MP_MEG3_1"	"AI_AcidSludgeSampleB_PacBio"	0
"220"	"UW_MP_OSCL3_1"	"AI_AcidSludgeSampleB_PacBio"	0
"221"	"UW_MP_STREP1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"222"	"UW_TS_ACET6_1"	"AI_AcidSludgeSampleB_PacBio"	0
"223"	"UW_TS_LACCAS2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"224"	"UW_TS_LACPLAN1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"225"	"UW_TS_PED3_1"	"AI_AcidSludgeSampleB_PacBio"	0
"226"	"UW_TS_PREV2_1"	"AI_AcidSludgeSampleB_PacBio"	0.97491335
"227"	"UW_DM_ACUT4_1"	"AI_AcidSludgeSampleB_PacBio"	0
"228"	"UW_MP_BACIL6_1"	"AI_AcidSludgeSampleB_PacBio"	0
"229"	"UW_MP_BIF4_1"	"AI_AcidSludgeSampleB_PacBio"	0
"230"	"UW_MP_LAC1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"231"	"UW_MP_LIQLAC2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"232"	"UW_TS_BAC2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"233"	"UW_TS_CLOS1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"234"	"UW_DM_ATO1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"235"	"UW_DM_SCHLAC1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"236"	"UW_MP_ACT2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"237"	"UW_MP_BURK1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"238"	"UW_MP_ENTER2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"239"	"UW_MP_PREV4_1"	"AI_AcidSludgeSampleB_PacBio"	0
"240"	"UW_TS_LAC6_1"	"AI_AcidSludgeSampleB_PacBio"	0
"241"	"MS_COR2_2018_genome"	"AI_AcidSludgeSampleB_PacBio"	0
"242"	"MS_COR3_2018_genome"	"AI_AcidSludgeSampleB_PacBio"	0
"243"	"MS_LAC4_2018_genome"	"AI_AcidSludgeSampleB_PacBio"	0
"244"	"UW_DM_ACUT1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"245"	"UW_DM_ACUT3_1"	"AI_AcidSludgeSampleB_PacBio"	0
"246"	"UW_MP_BACIL8_1"	"AI_AcidSludgeSampleB_PacBio"	0
"247"	"UW_MP_BIF11_1"	"AI_AcidSludgeSampleB_PacBio"	0
"248"	"UW_MP_BIF18_1"	"AI_AcidSludgeSampleB_PacBio"	0
"249"	"UW_MP_BIF19_1"	"AI_AcidSludgeSampleB_PacBio"	0
"250"	"UW_MP_BIF7_1"	"AI_AcidSludgeSampleB_PacBio"	0
"251"	"UW_MP_BIF9_1"	"AI_AcidSludgeSampleB_PacBio"	0
"252"	"UW_MP_BUL1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"253"	"UW_MP_BUL2_1"	"AI_AcidSludgeSampleB_PacBio"	0
